gene,211027_01_S001,211027_02_S001,211027_03_S001,211027_04_S001,211027_05_S001,211027_06_S001,211027_07_S001,211027_08_S001,211027_09_S001,211027_10_S001,211027_11_S001,211027_12_S001,211027_13_S001,211027_14_S001,211027_15_S001,211027_16_S001
entC,649.7297,537.61825,530.21975,423.6009,508.60415,1167.3775,265.39425,1735.295,1676.6115,545.5435,365.4603,99.51233,686.5007,911.0659,640.03065,429.9538
entE,442.90925,366.77965,473.6636,341.46665,359.26505,849.2017,174.69295,1244.8995,1398.429,447.1827,249.1916,68.62573,468.81745,646.6402,571.3345,419.1905
entB,621.7182,525.1706,863.2888,558.5168,532.8059,1591.5305,224.2723,2058.6635,2222.4445,572.1895,379.03975,89.413575,711.0522,1000.79885,651.8843,616.47835
entA,415.4662,354.81415,498.1008,368.6709,369.1534,995.49595,178.35315,1348.553,1462.7355,424.7589,254.76265,69.8775,464.9709,637.8706,533.6841,462.12945
ybdB,1237.582,984.85345,1337.247,1152.8945,1075.577,2645.22,647.88145,3571.4215,4769.669,1450.0665,714.7201,201.63325,1325.456,1795.042,2024.371,1466.9975
cstA,630.5336,736.2604,211.30125,172.08695,905.88855,753.5033,285.0836,247.1034,415.07595,93.18186,197.0735,158.912,357.20425,183.78655,126.93395,88.04898
ybdD,286.33525,287.1835,143.28285,102.33971,362.2901,317.5928,120.42675,109.42365,170.60055,48.917145,88.22949,72.64323,175.49075,90.41647,51.460905,64.901155
ybdH,150.21655,132.0292,155.74935,111.08437,136.74535,105.80825,76.140135,142.90265,104.716395,103.941695,93.507365,83.237785,106.39625,148.44515,55.599315,72.862785
ybdL,33.123535,28.652405,27.548265,19.35773,28.486865,16.325955,10.371,31.470675,13.826365,15.89332,15.510625,11.56816,17.27246,25.410265,4.6241755,11.17292
ybdM,87.68283,78.35302,74.65104,70.743725,92.78561,70.157625,57.397665,74.09399,91.94629,76.333175,70.87694,42.95015,86.062025,70.12571,68.397705,47.389394
ybdN,23.798845,20.01296,13.63306,13.362555,19.81078,16.296275,13.115705,19.020345,16.025715,17.898125,10.7294985,9.5536085,18.85167,19.630175,10.934725,8.5829295
ybdO,18.696085,17.14735,10.761825,7.1523845,14.36214,21.735395,8.942551,26.65818,9.0276235,10.1875495,12.588245,6.115085,14.88872,18.63552,5.721085,6.5876105
dsbG,555.7133,478.9748,462.9573,440.2201,499.19265,579.7622,370.51645,499.39035,705.58875,380.90025,415.29695,364.78135,1013.01295,470.19655,470.25615,203.30715
ahpC,9084.2415,8002.951,8227.5255,6439.5075,8929.137,10997.925,4148.471,8307.9195,14204.565,6630.164,8875.9595,6814.1975,17473.025,7684.6595,7560.016,4202.696
ahpF,1333.8355,1158.1235,641.21915,457.16435,1296.299,1064.256,481.26295,671.22525,806.9424,550.70505,636.9571,568.98865,1157.56,586.93935,282.41205,322.98425
uspG,681.7917,741.43,979.5326,597.271,919.0834,424.7994,294.4221,391.91335,430.8998,242.50215,149.70625,556.0278,718.7619,694.0287,366.73465,505.55795
ybdR,49.053845,46.9805,46.80294,37.30869,58.720205,37.293635,25.981595,44.09075,47.587335,31.167295,34.362675,23.328155,45.39479,42.577185,22.997455,19.93732
rnk,1041.5035,965.0838,710.61335,563.5134,860.7506,958.89155,378.1362,870.68715,942.0436,426.6155,583.64995,417.06955,920.19885,939.23885,401.07095,274.11895
rna,861.90055,834.8741,641.10135,452.41995,820.19085,857.17805,349.2306,1243.91845,962.30975,605.00225,746.8646,606.67825,829.0937,1196.66945,616.2406,359.39475
citT,24.860005,21.72754,10.335021,7.882223,24.650665,14.724035,9.322219,10.287124,6.911753,6.7053405,7.721305,9.0715465,11.5138055,13.8665125,4.528446,2.3128965
citG,6.6509435,6.99214,2.722988,3.9362085,7.573231,5.182727,6.9179385,6.3913295,3.3359155,3.032934,3.7671165,2.522547,3.319934,3.6855515,3.1829765,3.0275585
citX,14.533165,13.194275,8.6620065,9.228363,14.812435,7.0743855,6.276019,8.68549,7.297249,7.053099,5.6469855,6.003675,7.7031865,7.959476,4.344155,3.2683845
citF,8.8135775,8.620147,4.069355,3.741235,13.256725,5.974672,3.100253,6.1228945,2.86867,2.9722665,2.5254075,2.246159,4.417544,5.1057155,2.549816,2.2622955
citE,12.437355,6.2768145,5.759519,5.367423,8.930267,5.791421,7.4124285,4.272832,3.97794,5.769216,5.8720265,3.940852,6.0455965,4.681543,4.732834,2.311371
citD,6.25874,7.444472,4.4614985,4.607992,5.946773,7.1605045,5.296404,3.275796,3.196166,2.5609625,3.4778645,2.5623635,4.616672,3.3708845,2.2002415,2.425148
citC,5.990463,4.1286565,3.481201,3.840599,5.3797305,3.880836,2.851261,3.0966515,2.542786,2.6596665,2.318201,2.654236,2.628921,2.9468375,2.2354105,2.2012145
citA,63.242955,50.45395,37.472615,26.37683,62.111585,34.150075,24.567515,51.3971,38.64542,29.46338,22.768265,25.270135,45.126745,48.218705,18.099775,12.432465
citB,75.945055,73.590025,73.179525,44.784725,84.5321,56.4831,32.092845,111.8502,62.595895,48.558225,55.06732,30.76897,80.868125,103.175795,30.426745,28.159985
dcuC,449.472675,388.16102,545.14985,409.80325,428.67085,255.08808,295.511895,180.807855,437.51655,237.54215,161.66115,279.2444,225.15643,357.3689,290.91105,565.36335
dcuC,37.03672,28.843715,445.3603,318.8731,32.792555,18.453895,16.864425,26.88394,300.23845,71.842465,18.083135,113.2135,15.75307,216.4725,185.44495,550.79145
dcuC,16.37656,16.42157,618.7191,388.0789,18.00768,9.7194925,7.9457885,12.90841,352.2575,74.11445,8.821027,123.8204,7.807527,299.44465,220.5519,626.12275
crcA,58.16339,52.40771,70.99571,47.60024,46.74576,38.120825,29.683075,81.695795,44.83304,28.789725,34.358825,37.9806,39.30767,82.899595,28.52379,47.30433
cspE,48135.295,43210.885,22808.65,26043.2,50070.08,38236.81,32151.78,30695.285,32465.025,22625.69,21113.145,25842.315,33938.305,31061.8,19678.375,17199.415
crcB,382.33295,334.1704,162.462,121.523,333.3788,205.9166,231.48525,200.04865,122.8033,118.5447,227.0065,98.67258,221.8456,212.76805,78.075975,64.349105
ybeH,126.2425,114.49745,30.82941,26.20414,123.5496,71.957185,45.44524,35.318355,25.270295,17.592915,35.809835,41.204635,57.33965,36.800515,6.2557425,10.42652
ybeM,182.8296,166.21815,53.10522,44.04822,209.3621,106.194,92.314445,68.72863,50.78147,30.04948,47.226485,62.673855,98.802985,57.646,17.983785,18.87056
tatE,257.32945,213.3476,303.08995,276.1482,266.725,106.985135,175.5541,241.03415,310.4548,310.5952,65.258435,118.5982,233.11725,290.505,249.70085,229.6965
lipA,591.1155,507.9093,1137.6855,839.51025,612.4716,597.54595,317.77105,1407.218,1296.867,1009.20715,952.6635,675.50745,550.8715,1337.2045,959.5752,507.15045
ybeF,44.62318,45.965275,20.46921,19.086005,42.51944,31.9561,25.31937,45.01535,17.204425,29.55488,28.437175,16.54023,29.97779,39.693835,18.39477,15.43294
lipB,686.14105,659.37595,506.06005,427.16235,708.7867,630.31,359.18625,829.5841,589.03025,551.9476,492.78405,403.77915,580.65205,744.7607,384.9919,234.24365
ybeD,715.022,880.75355,469.2291,323.2122,947.6408,927.55055,321.77885,944.57645,430.7484,402.65295,471.59625,186.59645,528.7805,723.20975,333.93125,150.15825
dacA,2059.446,1911.7005,2141.5005,1410.381,2154.556,2149.409,781.74155,2853.4235,2381.547,1273.691,1865.1765,1823.8595,2349.5565,2704.8115,1252.826,731.6251
rlpA,967.9988,816.2327,589.95565,460.4357,921.7749,640.09235,407.7335,737.2476,652.1012,489.52645,488.02265,568.8938,745.34865,756.1027,241.7761,285.07585
mrdB,616.637,470.0636,334.0066,247.69525,477.81035,302.3707,248.47295,465.04895,277.89805,261.8547,278.7755,266.8828,404.9319,419.60245,137.5813,131.04325
mrdA,792.72705,644.56105,399.9821,262.2443,608.3066,442.0075,264.1328,649.92405,290.1935,305.52915,409.8609,294.90785,539.40885,601.9258,162.1885,133.87005
ybeA,904.3793,627.00655,484.8061,369.85105,686.4463,511.71215,364.2785,882.08185,460.98585,435.5276,456.3394,354.85675,664.3554,665.5684,216.75905,183.84215
ybeB,1698.72,1302.505,1421.028,978.34425,1427.953,1222.5729,667.8369,2026.7935,1154.52485,1040.00155,1268.765,844.88985,1671.2995,1929.021,632.68645,490.68695
cobC,574.3417,518.5485,363.59535,289.4653,562.49145,457.8295,306.23345,682.812,391.02625,343.11105,348.68525,393.3927,492.48635,658.3694,293.9355,190.4351
nadD,362.99665,295.3776,223.238,160.86065,347.58915,284.7392,163.3347,406.4675,225.0792,183.6353,225.53305,224.56575,295.9932,384.27115,131.76675,90.18128
holA,876.69965,772.4185,667.86795,426.23355,889.78845,744.34,365.0401,1103.625,617.8908,493.70115,521.74705,587.85215,823.1782,968.84585,290.77845,236.80975
rlpB,918.13585,838.3274,736.6681,540.0939,1018.13,714.90205,406.52385,986.2385,736.33145,592.2877,550.31885,608.88965,807.4511,891.0718,294.74955,323.81275
leuS,1356.219,1062.1095,1290.353,995.1223,1425.279,1091.9455,662.90775,1582.6,1417.2295,1222.9195,984.70165,1179.5305,1507.809,1579.725,567.32105,647.04825
ybeL,330.65265,368.4896,711.7701,616.64015,442.12545,492.19995,158.0986,310.7339,669.0594,165.9581,147.76305,459.1841,733.95725,455.91325,362.6989,547.95405
ybeQ,19.160205,9.4959675,7.9147475,7.8830285,14.577255,7.512406,6.236155,10.167856,5.9157125,6.155198,7.5722,5.4817345,6.658698,8.21608,4.7132625,4.3164565
ybeR,2.874662,3.02616,2.8092355,2.2579825,2.531546,2.6085615,2.4473905,2.863376,2.435919,2.6061445,2.321765,2.171845,2.3680555,2.507378,2.0804915,2.2427045
djlB,16.603615,10.393537,7.037249,7.945268,10.049144,6.708319,8.7458105,9.414296,3.917224,4.257071,4.7630115,4.015464,7.104889,8.500089,3.7683475,3.899528
ybeT,10.8048095,8.17295,7.3039725,9.4445685,8.6617995,3.720684,5.1395745,6.3977715,5.8260195,4.826844,4.277829,4.7305965,4.144514,5.055239,2.308902,4.255676
ybeU,16.94134,15.436185,13.16258,10.304083,12.39392,7.6535,4.316641,13.992165,6.822024,8.930475,4.062928,3.9723785,9.913443,12.296345,5.9391085,5.3497715
djlC,50.655035,52.537435,26.18765,18.9875965,53.34504,29.729185,11.8825445,44.52195,16.71684,20.171115,19.125665,13.83073,27.84286,36.59361,8.3704795,7.2737295
hscC,71.911535,79.639855,22.68676,13.274655,43.416775,41.27389,23.894215,12.725045,12.399845,8.776833,15.789395,12.591865,19.26109,21.681465,6.0431135,8.756852
rihA,1055.68995,1212.515,693.2361,554.31975,795.39335,1499.2395,347.6885,433.70225,726.58245,238.9675,536.0872,286.09495,930.9831,803.8173,433.35895,389.72675
gltL,405.01155,384.82555,176.6336,143.33315,474.5038,311.8512,158.171,180.39825,239.7562,99.37003,99.623815,149.5529,271.5339,166.4986,73.20112,55.29703
gltK,548.89365,579.9286,187.1798,151.538,730.13285,462.9731,283.1686,230.9479,280.9986,139.4453,146.50965,180.26345,317.67035,234.16145,164.8166,73.792785
gltJ,476.16805,540.434,162.93505,112.6418,661.9741,451.03175,214.21785,214.44415,248.23965,109.415,148.3533,154.6392,301.64175,225.9022,129.37145,56.030695
gltI,760.9439,802.61655,391.836,319.4919,992.93985,816.3973,328.86135,332.9607,574.92655,176.56455,257.21515,328.36405,540.22055,362.9759,267.67865,150.69245
lnt,652.60445,579.8468,422.9884,314.08415,670.2177,563.20085,334.99275,655.00635,364.1693,440.93035,360.4226,287.6154,557.3231,628.2817,208.2862,155.0173
ybeX,1419.5075,1390.4485,910.93,677.00685,1734.2315,1607.4305,571.144,1557.1745,945.8862,826.47715,994.9272,665.5351,1725.7195,1577.7705,495.08465,326.2466
ybeY,1490.904,1307.7195,1136.18,821.56265,1702.9405,1865.91,706.51745,1453.8845,1417.475,1024.03615,1023.723,809.76785,1902.2415,1258.7985,771.23835,413.8547
ybeZ,1061.1705,909.21205,774.3649,599.35515,1161.6435,1384.7705,441.63675,1009.0345,1063.1985,658.55425,771.52355,565.47855,1371.004,899.0529,353.3546,249.31405
miaB,670.75965,561.4747,454.35205,295.8452,657.934,476.2469,257.02025,448.83365,312.3817,304.96035,553.7312,487.48055,787.7049,473.9227,114.55995,127.00075
ubiF,183.1087,147.54475,313.90575,232.7609,206.0551,160.7087,84.969775,291.2871,517.80365,176.41035,124.8827,173.5682,214.74985,294.5172,168.95545,177.1929
glnX,5345.2305,4299.2935,1822.4955,1546.0265,4966.1105,2635.187,2599.998,2765.4895,1608.563,2342.131,2193.1385,2366.2985,2300.2725,2172.645,668.79115,839.28615
glnV,5449.344,4714.479,1776.199,1587.4385,5335.5845,2725.9305,2672.2015,2877.6285,1677.3975,2334.4155,2195.6375,2461.0045,2404.2595,2087.734,720.77175,827.72305
metU,19593,16736.01,6010.6265,5145.859,17384.67,9505.344,9374.67,13296.54,7402.5615,10572.01,11553.185,8190.3185,12459.485,14306.235,3257.4725,2949.6615
glnW,20552.645,18175.02,6758.3175,5759.552,21250.76,9418.5515,11107.805,13518.845,6430.789,11007.365,10186.225,8834.8065,10901.235,11222.81,2751.184,3591.0435
glnU,20663.49,17392.92,6472.67,5833.0535,20184.345,8968.216,11374.86,13114,6423.545,10990.155,10196.3255,8881.272,10868.145,11190.67,2680.052,3533.985
leuW,7167.84,6312.7335,2298.304,1710.0395,6935.314,3856.044,2517.124,5538.7205,2719.9025,3689.2005,4266.0185,3412.2505,5238.0365,9083.8235,936.7267,996.9479
metT,19725.69,17607.57,6115.7365,5225.7725,18052.94,9983.6055,9662.786,14519.065,7615.5635,11036.08,11502.485,8833.85,12618.32,14434.755,3353.7175,2998.7145
asnB,389.3998,361.19195,274.63055,235.00205,384.16455,449.00455,176.33555,923.72905,288.99165,191.61255,199.186,199.39375,353.46665,759.8403,145.3805,87.75795
nagD,667.24165,607.48325,360.1759,247.14435,638.01815,556.83725,251.8217,494.3717,415.40835,237.2553,365.2552,368.96615,612.0135,466.95055,161.5148,140.6967
nagC,513.266,464.8506,334.7241,234.69405,543.1265,510.794,203.2239,438.37935,371.5512,219.427,316.60745,366.08565,582.338,469.05075,145.4245,158.31985
nagA,495.32615,446.5194,362.2146,269.75555,427.8695,512.53695,173.60305,476.90425,495.59845,229.57875,319.1843,263.2145,435.63715,567.61915,192.4262,196.2841
nagB,437.4323,436.38115,528.06425,388.14375,410.0316,475.3295,140.2147,554.92565,845.4601,241.73845,292.804,170.88065,390.656,816.33135,353.27295,327.63365
nagE,551.45275,525.94745,567.6755,470.54665,470.2368,457.0775,190.6887,490.59435,1109.7025,245.82495,267.91845,184.8394,428.39385,737.2781,293.8423,348.7219
glnS,1574.3755,1247.9515,1040.88975,752.6355,1414.879,1378.713,619.21525,1122.52205,1305.7125,703.4719,1315.9565,1323.879,1875.3335,1033.8201,494.30465,309.09295
ybfM,89.81592,92.25642,70.403755,57.960595,61.095355,48.476475,27.338155,32.44849,57.37671,22.189195,14.32273,5.9935535,14.380775,70.998475,24.263055,29.526535
ybfN,70.522195,65.52586,52.22088,51.990025,43.726495,35.794075,30.18079,34.30841,40.213645,29.357565,16.54508,12.8073,18.613895,39.58043,20.210285,29.325235
fur,4290.056,4625.7075,3156.65,2080.107,4709.8425,6077.273,1785.267,7304.8425,3939.8745,2479.566,3968.9495,3117.4345,4663.687,5359.352,2874.913,1113.6485
fldA,1760.0795,1429.425,1290.8855,1090.393,1941.972,3591.7405,817.6978,3927.844,2066.3215,1271.6025,1701.2875,2405.8775,1899.9655,2558.5495,1018.4101,541.5577
ybfE,1102.432,873.315,387.93265,278.4163,977.81665,692.1397,394.05565,897.3203,582.0308,408.4764,704.0897,456.16715,697.3206,783.5332,275.0537,133.441
ybfF,245.5428,270.1261,311.6896,176.7658,275.9507,270.1282,92.549035,460.30525,273.64785,148.6108,170.60065,183.69315,286.54575,423.47705,123.66825,91.661575
seqA,1455.787,1404.4505,1046.6024,683.08235,1442.9035,1319.0455,424.67345,1503.916,1681.1665,629.98745,1066.5405,735.56685,1183.906,1501.732,648.2018,343.87385
pgm,1703.0715,1367.4725,1591.9285,1267.4035,1666.7105,1314.475,791.80765,1527.226,2051.473,1101.7425,939.62295,1183.908,1285.3515,1572.7935,909.5307,753.78715
ybfP,98.093705,79.36151,25.09337,23.01739,62.24168,71.387135,56.039265,47.04591,36.82226,38.363565,53.05346,21.24846,68.299415,36.531055,19.765785,10.35309
ybfG,13.2523,11.47374,9.5297505,9.7514405,8.8924905,4.56697,7.35024,7.6531745,4.965528,7.9131725,2.8313915,3.32741,8.9244835,7.2738395,3.7030905,5.2030225
ybfH,9.4676395,8.5605415,5.6231285,6.1385745,7.175531,4.957906,2.8014965,6.5204455,2.8209885,4.198143,3.5263915,2.373414,6.4587885,5.0206305,2.288274,2.3639035
potE,74.846405,79.323085,42.100355,33.958475,85.306755,46.82498,36.784455,47.98507,28.945555,28.82421,25.964075,34.6819,35.45146,47.715205,14.744655,12.290625
speF,13.515515,14.548465,7.219914,8.1802945,15.362425,13.49712,11.778535,9.5317355,8.3409985,5.3030825,9.01663,5.9200375,7.6076925,9.3422635,3.1692115,4.6756725
kdpE,151.2617,128.66725,114.7748,99.109295,142.7072,113.29415,77.458745,164.98335,120.18955,105.3732,106.90035,101.203225,134.7294,187.45875,70.8977,65.24091
kdpD,62.74544,55.74805,71.01648,56.17206,73.99416,37.483315,39.157335,59.17826,55.33073,45.497935,43.963495,85.283125,54.480835,96.008755,23.62223,29.163045
kdpC,64.149395,53.35437,129.46685,90.693985,51.31106,44.385495,27.519385,80.86486,43.45659,40.427885,67.399555,131.26175,50.847085,178.94455,15.62969,29.181265
kdpB,26.496775,23.31084,85.139145,47.66439,21.281275,21.376565,11.62117,41.774625,11.566675,20.260915,24.37314,75.071605,10.7126245,128.34695,6.9720265,10.35301
kdpA,53.31725,38.387695,247.6036,140.62185,28.165745,39.222705,9.153784,125.95995,26.41259,46.344855,80.690965,230.95535,22.34055,502.52715,5.3406335,34.502035
kdpF,12.193085,11.9798,78.25606,41.955835,7.131456,15.14623,2.5529815,49.231415,6.517138,12.46094,30.347325,80.79564,7.622434,213.47975,2.206053,12.36906
ybfA,61.426795,55.677745,367.8037,261.6323,49.240885,42.016605,23.76737,133.31025,776.0815,91.22494,72.58587,87.22787,173.6758,161.16195,383.68065,205.0119
rhsC,25.40834,25.16512,25.58468,26.115875,24.40644,14.155725,21.03159,23.7606,31.40181,21.03271,15.019735,13.939665,21.885805,20.632305,18.16592,17.36128
ybfB,2.5198215,3.615332,3.26586,2.9159975,2.456039,2.5296075,2.391557,5.050401,2.725845,2.331553,2.2132995,2.049384,2.638758,4.935265,2.0367115,2.1697105
ybfO,14.771505,10.59553,9.364093,8.7517145,14.091455,9.072778,8.898799,9.118714,12.03294,8.664807,8.2615325,5.346123,10.54083,10.379991,5.3958855,5.470926
ybfC,24.62933,25.46004,23.225355,21.82559,27.24837,14.31166,15.684485,30.09251,26.83461,22.74493,12.19557,11.98291,23.845275,26.368085,17.19887,11.511035
ybfQ,24.756565,26.29323,11.16639,10.19798,15.881905,13.84455,13.6518,18.27672,12.98047,9.548939,14.94935,5.936079,8.8753205,10.1411505,16.511065,3.6578185
ybfL,27.95769,24.24656,14.222035,11.361137,22.0881,13.395395,17.796605,22.22734,8.917889,11.246191,13.532155,5.884516,9.474482,14.209555,7.4578505,7.226847
ybfD,21.057255,20.322405,9.3736335,9.698693,16.104715,12.224445,12.88099,11.95411,8.3174195,6.5760995,10.192908,5.2676275,6.561694,9.81527,7.153005,4.5401665
ybgA,26.7322,37.81885,87.219685,60.93115,62.505275,63.38592,23.196135,58.01651,75.20875,21.926335,23.94289,74.86714,194.7224,72.85755,47.338435,33.893845
phr,93.505025,77.80692,144.8373,104.088425,119.2539,97.162375,54.592065,117.86555,141.7537,65.346405,49.8406,126.0482,231.8473,104.6049,74.03585,58.197365
ybgH,33.340115,39.5347,34.67591,23.065875,37.61892,21.22452,13.20737,119.98755,17.16274,25.3296,13.960255,10.833292,24.53811,110.60005,12.301145,15.75471
ybgI,688.658,609.71085,563.34405,495.26505,685.7703,786.9907,341.00585,527.4645,857.2431,400.29345,342.83495,550.0862,759.23655,495.4724,271.91105,256.11635
ybgJ,476.4807,416.92425,407.33765,302.87525,508.05575,599.4272,257.1329,337.90915,473.1366,243.22765,221.06305,312.63775,462.59,293.9854,197.8786,160.9455
ybgK,608.2474,506.6735,324.2211,294.41735,655.05305,579.4312,285.8441,386.23655,463.1182,238.4381,248.684,356.129,512.0066,345.9931,163.3326,139.43715
ybgL,1287.5485,1023.34715,717.3141,518.85375,1239.32,1273.7335,566.70995,743.2592,922.53285,529.925,551.9087,745.18305,1021.8745,685.645,418.9046,269.5947
nei,293.4636,276.38185,136.71195,106.67245,322.6529,307.64845,153.9519,199.34515,144.15465,122.0913,130.16925,158.86345,237.70415,191.59105,80.882085,56.437925
abrB,58.3582,51.48472,123.63965,95.10849,57.500785,41.240505,39.56544,35.408015,52.80305,38.509055,15.231325,42.412585,23.90105,84.350255,36.01655,116.01595
ybgO,10.323439,13.413295,8.3496575,6.189789,17.890705,8.0138025,12.228365,8.1833825,5.651749,9.1717715,5.9459015,3.100447,8.583756,6.269785,4.1681345,4.644747
ybgP,25.047405,25.5234,16.033495,11.969075,24.984055,14.90759,17.42311,17.520645,10.1969525,13.48861,10.85202,8.359936,13.122085,18.178315,6.013026,6.4455955
ybgQ,15.402,12.41594,9.162327,5.5357415,9.9166775,8.605491,5.3888435,7.285353,3.4353965,3.6369585,5.3826915,3.3602675,3.356695,7.880073,2.4723865,2.652008
ybgD,35.908485,34.21746,15.36191,10.2065095,20.654605,14.494505,15.578115,12.71589,7.0653025,6.7598995,3.541964,2.20942,9.2205345,16.08956,2.2092365,2.407463
gltA,6726.2915,8148.7145,6696.5845,4502.908,9780.945,11461.24,3792.5295,6143.9775,7876.0715,3804.609,2088.6875,1922.289,9799.2065,5401.1005,3129.124,2891.2825
sdhC,10822.555,11022.11,5364.3975,4192.276,12322.585,8217.6165,6163.2805,4900.73,4599.001,4172.898,2402.474,4537.981,10144.145,8332.9705,2418.3355,2516.157
sdhD,7335.446,7353.6425,4052.832,3179.9535,9336.036,5319.1225,3912.152,3110.6,2894.057,2718.6905,1439.118,3049.3135,6625.27,5631.835,1108.0695,1623.3705
sdhA,6704.7585,6329.1935,4813.7945,4057.349,8911.5665,3439.977,4220.5465,3002.2025,2912.3145,3104.6735,1078.3199,2450.6115,5868.707,4986.238,1145.4965,2472.366
sdhB,9300.4215,9024.0655,8152.987,5671.926,13091.535,3879.4115,5226.345,4606.932,4361.5015,4098.0255,1734.6185,2545.741,7928.413,7385.318,1730.101,3272.2175
sucA,5111.0125,5279.2325,6737.761,4567.0155,7352.7765,3890.9585,2407.604,5507.635,5320.0845,2973.9565,1354.1535,1916.217,5881.3865,5488.9355,1993.7135,2312.273
sucB,4818.105,4303.0515,7571.7235,5192.96,7674.219,3749.706,2893.262,5959.6425,6870.8705,4358.5515,1614.1655,2202.536,6237.4805,5445.0025,2528.885,2873.6735
sucC,4648.9225,4387.509,8465.075,6275.6125,7664.0395,4128.086,3187.217,6588.974,7962.6425,5179.5425,1589.906,2094.317,7388.3115,5228.4395,3578.2545,3022.905
sucD,5376.515,5162.0245,8214.585,6450.9415,9846.596,4670.084,3597.356,7575.056,8980.668,5113.0775,1826.2895,2663.676,8581.352,6100.707,3449.3155,3063.025
mngR,140.91435,128.81045,80.912985,66.494345,128.5114,104.68712,62.71746,102.67639,105.4467,71.57463,95.91894,71.136515,106.8346,97.86199,52.622145,29.67313
mngA,12.778755,13.771845,7.707238,5.47839,21.12864,7.4354555,5.356738,8.3137005,3.4171385,4.3373975,3.5279585,2.281347,2.5515315,13.301895,2.182858,2.2659135
mngB,34.898665,33.418415,24.47702,16.327965,46.552475,23.25564,13.56059,28.92921,23.600435,13.32483,17.05475,11.954825,21.684015,27.948195,8.902844,9.8548155
cydA,350.14765,296.29785,1409.61,1016.8791,403.1983,330.87515,176.7103,647.11395,1249.5115,649.04405,702.35395,1054.94865,775.1746,754.7304,847.79785,882.6581
cydB,881.8459,771.8995,1542.7795,1088.1795,1054.5285,713.4834,370.69665,964.15355,1599.2925,802.6821,990.2133,1693.356,1320.1325,1108.9265,829.89305,1133.55
ybgT,721.8879,694.1603,1242.1025,875.3897,845.42335,659.21825,339.51825,906.15655,1341.998,743.98825,1029.58375,1450.8945,1167.8575,928.4555,975.75345,949.2818
ybgE,458.16335,399.2524,901.68325,727.92955,512.13135,402.4003,290.95575,617.436,1082.7015,745.3389,508.37415,1004.4731,834.71335,621.1541,798.5387,720.45895
ybgC,823.83395,793.52195,330.79085,203.2119,804.67995,636.53245,303.53565,767.7265,327.99825,302.4468,515.3954,322.71065,776.80255,596.56915,182.0776,114.67925
tolQ,868.9456,737.7857,345.16865,229.86835,826.9945,548.5558,297.9681,640.16635,339.56215,300.40075,615.9484,350.7702,760.57165,596.58605,149.64245,88.68516
tolR,880.6404,690.95995,381.1037,284.05755,790.0913,499.07235,346.62525,628.93235,362.37905,357.87955,511.79765,378.4146,722.45795,544.19515,149.70485,133.60985
tolA,1640.9095,1289.6865,570.86955,436.97895,1415.4585,771.77155,608.8545,1031.9755,715.12645,698.20035,960.8462,722.2401,1255.4235,1029.1807,232.36185,218.56105
tolB,2563.7645,2197.008,2081.676,1398.111,2306.6385,1852.0315,912.3863,2405.9125,1862.512,1272.3705,1750.7395,1401.2385,2587.7715,2304.809,477.85985,600.9229
pal,8439.441,6903.4225,9414.533,6901.741,7502.169,8209.925,3535.092,9002.6415,8413.661,5563.586,7140.015,4488.4755,7447.713,8596.9965,3549.1065,3557.087
ybgF,1857.1265,1528.364,1310.2705,1061.58735,1631.922,1643.968,851.10975,1777.6555,1335.1005,1109.167,1300.415,1153.1615,1653.12,1635.7945,570.33575,623.34255
lysT,29171.75,23204.56,10337.848,7477.278,26758.11,17241.595,13096.09,22645.64,7215.71,14802.565,17975.795,12576.745,23081.42,17890.79,3065.632,4316.6445
valT,23142.475,20364.875,8562.1985,5637.9055,20971.915,13927.835,9978.343,17994.975,7969.6955,14983.11,18152.61,13432.395,19567.505,18498.73,3507.9775,4243.7685
lysW,27450.76,21792.905,10439.91,7353.2895,25856.6,17132.09,13418.825,22391.825,7785.8315,14231.025,18604.195,12564.325,22179.245,17001.89,3041.173,4176.835
valZ,22647.14,20185.64,8590.0275,5745.9225,20720.135,13826.68,10119.4465,18466.425,7715.46,15013.86,18880.32,13548.145,19068.865,18527.82,3437.505,4324.1375
lysY,27738.825,22717.215,10314.29,7189.9125,25474.855,17666.305,13207.3,21243.18,7365.0145,14600.915,18424.315,12552.485,22121.81,17669.755,3160.088,4176.3605
lysZ,27997.765,23049.46,10281.9635,7357.142,25956.81,17789.83,13427.335,21699.835,7679.4505,14515.615,18538.635,13539.695,23011.045,18113.665,3230.784,4263.0825
lysQ,27967.23,22600.56,10426.8,7801.065,25501.495,17438.58,13334.965,22263.405,6916.85,14924.755,18025.18,12693.455,22124.985,18192.42,3150.5625,4299.9755
nadA,85.37839,70.10859,73.991245,50.071885,63.540235,50.14568,60.4563,64.444635,46.26558,1603.1775,55.89387,26.597435,31.765265,66.169955,26.228295,1734.4705
pnuC,121.0568,117.0241,132.2369,79.162865,122.74825,88.372265,55.8714,97.4433,89.627185,917.8615,64.204095,63.80987,98.900265,95.87997,34.989485,921.1462
zitB,65.34849,69.407175,75.81122,46.156085,85.811475,67.64537,26.764605,69.65965,63.549255,47.99252,34.948165,32.56577,71.06541,71.286465,22.730155,32.930825
ybgS,53.43532,49.48301,129.96785,102.1935,95.4762,53.50338,44.99567,35.684745,106.3683,30.3593,29.00288,227.3521,274.9802,41.54469,57.49702,42.86761
